oid,tid,sid,meanra,meandec,sigmara,sigmadec,firstmjd,lastmjd,deltamjd,n_det,n_forced,n_non_det,created_date,updated_date,classifier_id,classifier_version,class_id,probability,ranking
170028534940041245,1,1,186.8188931614934,6.657317606567627,1.4857607261988245e-05,1.5178378101211884e-05,61090.32213603017,61095.2185456929,4.8964096627314575,12,261,0,2026-02-20,2026-02-24,1,201,0,0.9849005,1
170032918199009744,1,1,186.1282704381354,6.510070710957935,4.272095736712112e-07,4.389357166221295e-07,61090.249860302356,61095.21468482468,4.964824522321578,62,215,0,2026-02-20,2026-02-24,1,201,0,0.98472786,1
170028527140733006,1,1,186.3831701995685,7.6856543027930035,5.65652460216982e-07,5.708862073771237e-07,61090.250326740745,61098.2335739552,7.983247214455332,28,439,0,2026-02-20,2026-02-27,1,201,0,0.9845931,1
170028526489043016,1,1,186.5897817134471,6.669618983920281,8.75978059359922e-07,9.026841056167085e-07,61090.247937232445,61095.205102926135,4.957165693689603,42,290,0,2026-02-20,2026-02-24,1,201,0,0.9845931,1
170028526513684557,1,1,187.0201894555989,6.967839354440443,1.2411927536682955e-07,1.2795066307561442e-07,61090.247937232445,61098.24137255241,7.993435319964192,526,552,0,2026-02-20,2026-02-27,1,201,0,0.98452073,1
170028533915058198,1,1,187.40466421183942,7.932974095473669,2.6364141336481944e-05,2.251186732442595e-05,61090.247937232445,61091.27917691604,1.0312396835943218,10,56,0,2026-02-20,2026-02-24,1,201,0,0.98409927,1
170028529060675688,1,1,186.59002381644262,6.669336488508294,1.4666408945070646e-05,1.652473373492552e-05,61090.2581880138,61095.21281907965,4.954631065847934,21,289,0,2026-02-20,2026-02-24,1,201,0,0.984097,1
313761042364104803,1,1,64.42198650809249,-46.92933173328554,2.0531775708026802e-07,2.0126405127689192e-07,61003.324393250674,61096.07189640819,92.7475031575159,137,209,0,2026-02-13,2026-02-25,1,201,0,0.9840614,1
313853502010949638,1,1,62.06788329058617,-48.07480497849309,3.3309735430858335e-06,3.561104383216164e-06,61024.15533099769,61091.08622172479,66.93089072710427,22,96,0,2026-02-13,2026-02-24,1,201,0,0.98387516,1
313897383942946902,1,1,64.25246432442003,-48.48684369431913,3.7525713957910885e-06,3.5553351158642015e-06,61034.16130408224,61096.06190769817,61.90060361592623,28,210,0,2026-02-13,2026-02-25,1,201,0,0.9838545,1
