tns_name,tns_redshift,mB_eff,e_mB_eff
2023ozc,0.049,18.436505393481774,0.19829948879783357
2023ozc,0.049,18.241051075088066,0.1957488560800019
2023ozc,0.049,18.195967519179863,0.1953382974945485
2023ozc,0.049,18.097274167438073,0.1952181725257748
2023ozc,0.049,17.9219792409244,0.18991168140015946
2023ozc,0.049,17.803609446296257,0.20038138694420005
2023ozc,0.049,17.77080051178698,0.19364799474487457
2023ozc,0.049,17.74330043980746,0.1871656955598656
2023ozc,0.049,17.844695942298454,0.19113263972886602
2023ozc,0.049,17.851052631598993,0.19720450727416414
2023ozc,0.049,17.840801684413474,0.19295651410665857
2023ozc,0.049,18.00452536662249,0.20452289673463622
2023ozc,0.049,17.895447008994623,0.1965756566523997
2023ozc,0.049,18.051760393180412,0.22521692000973534
2023ozc,0.049,18.09253375020556,0.20102896022510264
2023ozc,0.049,18.53256263838915,0.2087648569206854
2023ozc,0.049,18.329399280761283,0.19342302927567923
2023ozc,0.049,18.329447280761286,0.19342293265006782
2023ozc,0.049,18.34307173752932,0.1947159227256217
2023ozc,0.049,18.415814617415947,0.20730626222095402
2023ozc,0.049,18.60815084315829,0.20764913766533885
2023ozc,0.049,18.544260075389428,0.2051219617716713
2023ozc,0.049,18.685968041739983,0.21025854928777862
2023ozc,0.049,18.631350790343806,0.2114374851455107
2023ozc,0.049,18.822761201087516,0.20216050136385721
2023ozc,0.049,18.67168404792742,0.20966299918884443
2023ozc,0.049,18.891146803924126,0.22298573798576776
2023ozc,0.049,18.88009559855227,0.20418137967960429
2023ozc,0.049,19.25927188918261,0.25204901907868327
2023ozc,0.049,19.259221889182612,0.2520486822482832
2023ozc,0.049,19.208322174830958,0.23013969374312176
2023ozc,0.049,19.208348174830956,0.2301396687250946
2023ozc,0.049,19.116644313808006,0.23797269636095814
2023ozc,0.049,19.197364564601465,0.2806321751494941
2023vcn,0.086,19.495002633880652,0.22072506406591666
2023vcn,0.086,19.118251852710998,0.2034020351275681
2023vcn,0.086,18.770453022452152,0.18698945245198098
2023vcn,0.086,18.481898455246245,0.20883527459047907
2023vcn,0.086,18.335481156081713,0.22362745171223164
2023vcn,0.086,18.442363678103245,0.1939454436041558
2023vcn,0.086,18.64055049928931,0.20270934216043546
2023vcn,0.086,18.710190207094467,0.20939561040668875
2023mty,0.08,19.025279155870642,0.19574322204254332
