oid,ndethist,ncovhist,mjdstarthist,mjdendhist,corrected,stellar,ndet,g_r_max,g_r_max_corr,g_r_mean,g_r_mean_corr,firstmjd,lastmjd,deltajd,meanra,meandec,sigmara,sigmadec,class,classifier,probability,step_id_corr,tns_match,tns_sep_arcsec,tns_name,tns_name_prefix,tns_type,tns_redshift,tns_full_name
ZTF21abhbkdv,34,6362,58284.327048600186,61024.09692130005,True,False,31,,,,,60988.1026504999,61024.09692130005,35.994270800147206,287.9289793352846,49.3647158758352,0.020223886283989245,0.013170637217468036,SNIa,lc_classifier_BHRF_forced_phot,0.638,27.5.7a32.dev1,True,0.9075009223527244,2025acuj,SN,SN Ia,0.058,SN 2025acuj
ZTF25abyfbss,60,2891,60967.48339120019,61021.42231479986,True,False,32,,,,,60968.40800930001,61021.42231479986,53.01430549984798,115.91797768129044,34.43972486900662,0.015781472528598888,0.01301532092774815,SNIa,lc_classifier_BHRF_forced_phot,0.658,27.5.7a32.dev1,True,0.05960625137173626,2025abdb,SN,SN Ia,0.06942,SN 2025abdb
ZTF25abzbzom,62,2659,60970.3017477002,61021.17989580007,False,False,26,,,,,60970.22214120021,61021.17989580007,50.9577545998618,358.7107316725687,33.97191781525963,0.017626839299606872,0.014618141221640865,SNIa,lc_classifier_BHRF_forced_phot,0.744,27.5.7a32.dev1,True,0.06490533112142897,2025ablw,SN,SN Ia,0.099,SN 2025ablw
ZTF25abadtsx,207,2095,60863.26824070001,61020.132418999914,False,False,107,,,,,60864.36379629979,61020.132418999914,155.76862270012498,311.156521396569,-1.7201254516066193,0.007019495564588489,0.007016332512354215,SNIa,lc_classifier_BHRF_forced_phot,0.768,27.5.7a32.dev1,True,0.06438891279233928,2025qpk,SN,SN Ia,0.01377,SN 2025qpk
ZTF25absdrsu,108,1583,60938.28524310002,61017.19018519996,False,False,41,,,,,60935.3347800998,61017.19018519996,81.85540510015562,9.477007231539469,-8.323870342730865,0.011953066897523188,0.01182714784308446,SNIa,lc_classifier_BHRF_forced_phot,0.678,27.5.7a32.dev1,True,0.23920002176200755,2025ygp,SN,SN Ia,0.057,SN 2025ygp
ZTF25abskhhq,44,2253,60939.14929400012,61015.13969910005,False,False,37,,,,,60941.204120399896,61015.13969910005,73.93557870015502,304.3424928860236,5.2392175084769725,0.012184975862792357,0.01213406837240782,SNIa,lc_classifier_BHRF_forced_phot,0.5994,27.5.7a32.dev1,True,0.03841863821892953,2025yhm,SN,SN Ia,0.023523,SN 2025yhm
ZTF20acxukfq,88,1715,58434.14037040016,61011.08557870006,True,False,61,,,,,60932.274432899896,61011.08557870006,78.81114580016583,334.50550609922544,-6.839348178812764,0.0031904631803802235,0.003167759644340087,SNIa,lc_classifier_BHRF_forced_phot,0.658424,27.5.7a32.dev1,True,0.45073652810607606,2025xvw,SN,SN Ia-91T-like,0.03309,SN 2025xvw
ZTF25abvepyj,41,1556,60950.51965280017,61006.41524309991,False,False,40,,,,,60950.51965280017,61006.41524309991,55.895590299740434,146.16993368165433,14.732126726206788,0.012617479349782542,0.012202683516041339,SNIa,lc_classifier_BHRF_forced_phot,0.624748,27.5.7a32.dev1,True,0.220722362235945,2025zno,SN,SN Ia,0.064167,SN 2025zno
ZTF25abwpmrd,54,1483,60960.28130789986,61005.25655090017,False,False,34,,,,,60960.28130789986,61005.25655090017,44.97524300031364,34.47196125880085,-16.01650156391458,0.013234213138478714,0.012720490863865086,SNIa,lc_classifier_BHRF_forced_phot,0.5976,27.5.7a32.dev1,True,0.17930679383256792,2025aadr,SN,SN Ia,0.07,SN 2025aadr
ZTF25abllldx,83,2283,60911.3276157002,61004.224768499844,False,False,49,,,,,60911.3276157002,61004.224768499844,92.8971527996473,352.89206802763704,46.30466832202953,0.015477086753926866,0.010691935100907093,SNIa,lc_classifier_BHRF_forced_phot,0.612912,27.5.7a32.dev1,True,0.12587619370616962,2025vnv,SN,SN Ia,0.04,SN 2025vnv
ZTF25abrgeib,66,1603,60934.232557899784,61003.15449069999,True,False,52,,,,,60935.15280089993,61003.15449069999,68.00168980006129,327.85314766438034,-16.66390212848229,0.003987457656638417,0.003819997779454436,SNIa,lc_classifier_BHRF_forced_phot,0.728,27.5.7a32.dev1,True,0.07438088091372896,2025xzy,SN,SN Ia,0.068,SN 2025xzy
ZTF25abxfpgs,8,3323,60978.10997689981,61003.09778939979,False,False,30,,,,,60965.11195599986,61003.09778939979,37.985833399929106,270.1818599797319,43.0380253297611,0.017929532761890767,0.013104711610380836,SNIa,lc_classifier_BHRF_forced_phot,0.626744,27.5.7a32.dev1,True,0.002889403130667671,2025aavv,SN,SN Ia,0.05094,SN 2025aavv
ZTF25abvqhcq,25,1825,60952.50517359981,60992.52437500004,False,False,25,,,,,60952.50517359981,60992.52437500004,40.01920140022412,136.95198546124502,21.179988055684657,0.015267157224572229,0.014235861109758786,SNIa,lc_classifier_BHRF_forced_phot,0.616764,27.5.7a32.dev1,True,0.10383750557495025,2025zpz,SN,SN Ia,0.08,SN 2025zpz
ZTF25abpxqho,60,1713,60929.18407410011,60992.288888900075,True,False,33,,,,,60929.23782410007,60992.288888900075,63.051064800005406,340.24920753624724,-1.3064389937372847,0.013083301246904329,0.013079899992141448,SNIa,lc_classifier_BHRF_forced_phot,0.656,27.5.7a32.dev1,True,0.1955093765761677,2025xgf,SN,SN Ia,0.06,SN 2025xgf
ZTF25abqzdbd,52,1372,60933.37633100012,60990.27929400001,True,False,38,,,,,60933.37633100012,60990.27929400001,56.90296299988404,29.19890967406849,-14.502885472866966,0.012407658519538891,0.01201228866751779,SNIa,lc_classifier_BHRF_forced_phot,0.684,27.5.7a32.dev1,True,0.186434247751754,2025xqf,SN,SN Ia,0.0685,SN 2025xqf
ZTF25absfiyt,111,1694,60938.33881939994,60990.26990740001,False,False,35,,,,,60939.35645829979,60990.26990740001,50.91344910021871,25.915269047317608,-8.453061190207134,0.012525235594660476,0.01238916902181682,SNIa,lc_classifier_BHRF_forced_phot,0.711704,27.5.7a32.dev1,True,0.12091350530211353,2025yfx,SN,SN Ia,0.096741,SN 2025yfx
ZTF25abqamzb,119,2770,60927.30256940005,60990.25288189994,True,False,34,,,,,60927.30256940005,60990.25288189994,62.95031249988824,11.66056221769623,29.897622492688026,0.01479132470874916,0.012822856997537298,SNIa,lc_classifier_BHRF_forced_phot,0.632,27.5.7a32.dev1,True,0.09809718949416973,2025xkn,SN,SN Ia,0.08,SN 2025xkn
ZTF25abuhvvs,147,4008,60948.266944400035,60990.23788189981,False,False,30,,,,,60949.296990700066,60990.23788189981,40.94089119974524,9.573345832161152,23.092588847801917,0.014492936810930446,0.01333164992806503,SNIa,lc_classifier_BHRF_forced_phot,0.664,27.5.7a32.dev1,True,0.032952600755943376,2025znu,AT,,,AT 2025znu
ZTF25absvroj,114,7063,60941.30170139996,60990.12324069999,True,False,41,,,,,60941.3026389,60990.122303199954,48.81966429995373,336.8961392509342,29.731120436924712,0.013090866782053453,0.011367614699187996,SNIa,lc_classifier_BHRF_forced_phot,0.681884,27.5.7a32.dev1,True,0.10513091156916075,2025ymx,SN,SN Ia,0.064,SN 2025ymx
ZTF25abogvjf,160,2764,60920.467673600186,60989.15533560002,False,False,39,,,,,60923.36458329996,60989.15533560002,65.79075230006129,29.98640338216537,35.45817735142571,0.014403366463771916,0.011732106056350331,SNIa,lc_classifier_BHRF_forced_phot,0.804,27.5.7a32.dev1,True,0.2161408104936075,2025wyq,SN,SN Ia,0.047,SN 2025wyq
ZTF25abtzltn,36,2533,60944.211620400194,60989.10598379979,False,False,34,,,,,60948.18871530006,60989.10598379979,40.91726849973202,320.6281780566768,-27.179987044438878,0.013762807247571646,0.01224306246131078,SNIa,lc_classifier_BHRF_forced_phot,0.704588,27.5.7a32.dev1,True,0.059448332714242436,2025ywa,SN,SN Ia-91T-like,0.037,SN 2025ywa
ZTF25abscivt,96,3761,60938.206412000116,60988.085243099835,False,False,26,,,,,60938.206412000116,60988.085243099835,49.87883109971881,322.0197513701381,11.21376809977743,0.014748592833684404,0.014467019205710512,SNIa,lc_classifier_BHRF_forced_phot,0.862,27.5.7a32.dev1,True,0.08868243749809204,2025yew,SN,SN Ia,0.07748712,SN 2025yew
ZTF25abqimds,86,5653,60928.18707180023,60988.074502300005,False,False,32,,,,,60928.18707180023,60988.074502300005,59.88743049977347,264.5716624527828,60.757284997765815,0.027334219271829413,0.013353047576227134,SNIa,lc_classifier_BHRF_forced_phot,0.686,27.5.7a32.dev1,True,0.03517756514077264,2025xjk,SN,SN Ia,0.079,SN 2025xjk
ZTF25absblvn,13,3304,60938.142488399986,60988.07243059995,False,False,37,,,,,60934.183877300005,60988.07243059995,53.88855329994112,269.1935772582935,43.20407673878022,0.016892876714455173,0.012313554077206183,SNIa,lc_classifier_BHRF_forced_phot,0.7,27.5.7a32.dev1,True,0.10321049507953527,2025yaa,SN,SN Ia,0.0736,SN 2025yaa
ZTF25abuvlkk,66,2550,60949.39371530013,60987.28293980006,False,False,28,,,,,60949.39371530013,60987.28293980006,37.889224499929696,16.82959659098523,36.284356361946145,0.017119143882890413,0.013799568696849977,SNIa,lc_classifier_BHRF_forced_phot,0.712,27.5.7a32.dev1,True,0.18428359626116797,2025zmw,SN,SN Ia,0.07,SN 2025zmw
ZTF25abieqtz,67,843,60899.37682869984,60987.25318290014,False,False,58,,,,,60899.37682869984,60987.25318290014,87.87635420029983,350.5114535207335,-23.501840854740966,0.010502909350430615,0.009631664064606422,SNIa,lc_classifier_BHRF_forced_phot,0.783096,27.5.7a32.dev1,True,0.1723946954393625,2025tqg,SN,SN Ia,0.02833,SN 2025tqg
ZTF25abqkiqr,49,1984,60930.351111100055,60972.18754629977,False,False,28,,,,,60932.22847220022,60981.0974653,48.86899309977889,315.7994257591871,-0.10287678286489439,0.0142040928813794,0.014204070269393214,SNIa,lc_classifier_BHRF_forced_phot,0.788,27.5.7a32.dev1,True,0.09420580863422975,2025xjv,SN,SN Ia,0.054,SN 2025xjv
ZTF25aboscbc,35,1480,60922.47802079981,60980.40189810004,True,False,25,,,,,60922.47802079981,60980.40189810004,57.923877300228924,74.58990053863185,5.0884876873004155,0.015061817444089654,0.015002457336567156,SNIa,lc_classifier_BHRF_forced_phot,0.595608,27.5.7a32.dev1,True,0.06736430494168906,2025wws,SN,SN Ia,0.07,SN 2025wws
ZTF25abioriw,118,2649,60901.35234950017,60980.30284720007,False,False,47,,,,,60901.37359949993,60980.30284720007,78.9292477001436,353.97720713025956,47.07646978468108,0.016047677210508163,0.010928815422180946,SNIa,lc_classifier_BHRF_forced_phot,0.878,27.5.7a32.dev1,True,0.045009584441924565,2025twl,SN,SN Ia,0.043,SN 2025twl
ZTF25abikaaq,180,4585,60899.44819439994,60969.30744209979,True,False,100,,,,,60900.38489580015,60979.39064810006,79.00575229991227,24.989546080691635,43.784035916592615,0.010194744976262202,0.007360127104545066,SNIa,lc_classifier_BHRF_forced_phot,0.6468,27.5.7a32.dev1,True,0.10603165677824825,2025tsu,SN,SN Ia,0.035,SN 2025tsu
ZTF25abjqeok,95,2022,60904.44866900006,60969.27609949978,False,False,38,,,,,60905.387557900045,60979.25437500002,73.86681709997356,25.57013110749704,7.658449913058563,0.012386750705595808,0.012276262123160806,SNIa,lc_classifier_BHRF_forced_phot,0.668,27.5.7a32.dev1,True,0.18159268056968014,2025ums,SN,SN Ia,0.0647,SN 2025ums
